Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Hamm(Westf)Hbf;RE 1 (26804);Köln Hbf;01.08.2025, 07:12;01.08.2025, 08:26;74
Oberhausen Hbf;RE 5 (28505);Köln Hbf;01.08.2025, 07:29;01.08.2025, 08:34;66
Hamm(Westf)Hbf;RE 1 (26806);Köln Hbf;01.08.2025, 08:12;01.08.2025, 09:58;106
Oberhausen Hbf;RE 5 (28509);Köln Hbf;01.08.2025, 09:29;01.08.2025, 10:44;75
Hamm(Westf)Hbf;RE 1 (26808);Köln Hbf;01.08.2025, 09:12;01.08.2025, 11:01;109
Hamm(Westf)Hbf;RE 1 (26814);Köln Hbf;01.08.2025, 12:10;01.08.2025, 13:18;69
Hamm(Westf)Hbf;RE 1 (26818);Köln Hbf;01.08.2025, 14:12;01.08.2025, 15:19;68
Hamm(Westf)Hbf;RE 1 (26820);Köln Hbf;01.08.2025, 15:12;01.08.2025, 16:15;64
Hamm(Westf)Hbf;RE 1 (26822);Köln Hbf;01.08.2025, 16:12;01.08.2025, 17:15;64
Hamm(Westf)Hbf;RE 1 (26828);Köln Hbf;01.08.2025, 19:12;01.08.2025, 20:44;92
Hamm(Westf)Hbf;RE 1 (26830);Köln Hbf;01.08.2025, 20:12;01.08.2025, 21:36;85
Hamm(Westf)Hbf;RE 1 (26832);Köln Hbf;01.08.2025, 21:12;01.08.2025, 22:19;68
