Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Friedrichsfeld(Niederrhein);RE 5 (28523);Köln Hbf;01.09.2025, 16:29;01.09.2025, 17:34;66
Mönchengladbach Hbf;RB 27 (10633);Köln Hbf;04.09.2025, 18:35;04.09.2025, 19:38;64
Köln Messe/Deutz;RE 22 (10055);Köln Hbf;04.09.2025, 18:18;04.09.2025, 19:56;99
Hamm(Westf)Hbf;RE 1 (26802);Köln Hbf;05.09.2025, 06:12;05.09.2025, 07:34;83
Friedrichsfeld(Niederrhein);RE 5 (28521);Köln Hbf;05.09.2025, 15:29;05.09.2025, 16:32;64
Minden(Westf);RE 6 (89730);Köln Hbf;05.09.2025, 19:50;05.09.2025, 20:59;69
Hamm(Westf)Hbf;RE 1 (63808);Köln Hbf;06.09.2025, 09:12;06.09.2025, 11:01;109
Hamm(Westf)Hbf;RE 1 (63810);Köln Hbf;06.09.2025, 10:12;06.09.2025, 11:25;74
Hamm(Westf)Hbf;RE 1 (63812);Köln Hbf;06.09.2025, 11:12;06.09.2025, 12:17;66
Rheine;RE 7 (17417);Köln Hbf;06.09.2025, 13:38;06.09.2025, 15:09;91
Hamm(Westf)Hbf;RE 1 (63820);Köln Hbf;06.09.2025, 15:12;06.09.2025, 16:30;79
Gelsenkirchen Hbf;TRI RE1 (28541);Köln Hbf;07.09.2025, 01:00;07.09.2025, 02:09;69
Essen Hbf;RE 6 (63710);Köln Hbf;07.09.2025, 09:50;07.09.2025, 11:18;88
Hamm(Westf)Hbf;RE 1 (63816);Köln Hbf;07.09.2025, 13:12;07.09.2025, 14:26;74
Hamm(Westf)Hbf;RE 1 (63818);Köln Hbf;07.09.2025, 14:12;07.09.2025, 15:13;62
Hamm(Westf)Hbf;RE 1 (63824);Köln Hbf;07.09.2025, 17:12;07.09.2025, 18:17;66
Koblenz Hbf;RB 27 (10602);Köln Hbf;08.09.2025, 06:22;08.09.2025, 07:38;77
Hamm(Westf)Hbf;RE 1 (63814);Köln Hbf;08.09.2025, 12:11;08.09.2025, 13:50;100
Krefeld Hbf;RE 7 (17418);Köln Hbf;08.09.2025, 13:18;08.09.2025, 14:35;77
Mönchengladbach Hbf;RE 8 (10805);Köln Hbf;09.09.2025, 07:00;09.09.2025, 08:00;61
Hamm(Westf)Hbf;RE 1 (63808);Köln Hbf;09.09.2025, 09:12;09.09.2025, 10:25;73
Hamm(Westf)Hbf;RE 1 (63824);Köln Hbf;09.09.2025, 17:12;09.09.2025, 18:17;65
Hamm(Westf)Hbf;RE 1 (63828);Köln Hbf;09.09.2025, 19:12;09.09.2025, 20:12;60
Hamm(Westf)Hbf;RE 1 (63830);Köln Hbf;09.09.2025, 20:12;09.09.2025, 21:28;76
Koblenz Hbf;RE 5 (28532);Köln Hbf;09.09.2025, 20:28;09.09.2025, 21:56;89
Hamm(Westf)Hbf;RE 1 (63834);Köln Hbf;09.09.2025, 22:12;10.09.2025, 00:00;109
Aachen Hbf;RE 1 (63843);Köln Hbf;10.09.2025, 00:42;10.09.2025, 02:07;85
Hamm(Westf)Hbf;RE 1 (63804);Köln Hbf;10.09.2025, 07:12;10.09.2025, 08:44;93
Hamm(Westf)Hbf;RE 1 (63810);Köln Hbf;10.09.2025, 10:12;10.09.2025, 11:17;65
Koblenz Hbf;RE 5 (28514);Köln Hbf;10.09.2025, 11:28;10.09.2025, 12:40;72
Gerolstein;RE 22 (10022);Köln Hbf;10.09.2025, 11:39;10.09.2025, 12:51;73
Rheine;RE 7 (17431);Köln Hbf;10.09.2025, 20:38;10.09.2025, 21:42;64
Solingen Hbf;RB 48 (17379);Köln Hbf;11.09.2025, 23:33;12.09.2025, 00:39;67
Köln Messe/Deutz;RB 24 (10455);Köln Hbf;11.09.2025, 23:43;12.09.2025, 00:46;63
Koblenz Hbf;RE 5 (28538);Köln Hbf;11.09.2025, 23:28;12.09.2025, 00:49;81
Krefeld Hbf;TRI RE7 (89453);Köln Hbf;12.09.2025, 00:18;12.09.2025, 01:25;67
Bonn-Mehlem;RB 48 (17386);Köln Hbf;12.09.2025, 01:22;12.09.2025, 02:27;65
Hamm(Westf)Hbf;RE 1 (63812);Köln Hbf;12.09.2025, 11:12;12.09.2025, 12:25;73
Siegen Hbf;RE 9 (10956);Köln Hbf;13.09.2025, 09:36;13.09.2025, 10:39;64
Rheine;RE 7 (17421);Köln Hbf;13.09.2025, 15:38;13.09.2025, 16:45;67
Bonn-Mehlem;RB 48 (17330);Köln Hbf;14.09.2025, 11:22;14.09.2025, 12:31;69
Essen Hbf;RE 6 (63730);Köln Hbf;14.09.2025, 19:50;14.09.2025, 20:52;63
Hamm(Westf)Hbf;RE 1 (63830);Köln Hbf;14.09.2025, 20:12;14.09.2025, 21:53;102
Hamm(Westf)Hbf;RE 1 (63828);Köln Hbf;14.09.2025, 19:12;14.09.2025, 21:45;154
Essen Hbf;RE 6 (63726);Köln Hbf;16.09.2025, 17:50;16.09.2025, 19:08;78
Kall;RE 22 (10058);Köln Hbf;17.09.2025, 22:39;17.09.2025, 23:56;77
Koblenz Hbf;RE 5 (28538);Köln Hbf;17.09.2025, 23:28;18.09.2025, 00:52;85
Kall;RE 22 (10062);Köln Hbf;17.09.2025, 23:39;18.09.2025, 01:14;96
Mönchengladbach Hbf;RE 8 (29477);Köln Hbf;18.09.2025, 19:00;18.09.2025, 20:20;80
Mönchengladbach Hbf;RE 8 (29475);Köln Hbf;18.09.2025, 18:00;18.09.2025, 20:16;136
Mönchengladbach Hbf;RB 27 (10633);Köln Hbf;18.09.2025, 18:35;18.09.2025, 20:24;110
Mönchengladbach Hbf;RB 27 (10635);Köln Hbf;18.09.2025, 19:35;18.09.2025, 21:11;97
Mönchengladbach Hbf;RB 27 (10637);Köln Hbf;18.09.2025, 20:35;18.09.2025, 21:36;61
Dortmund Hbf;RE 1 (63848);Köln Hbf;19.09.2025, 04:15;19.09.2025, 05:40;85
Koblenz Hbf;RB 27 (10614);Köln Hbf;19.09.2025, 12:22;19.09.2025, 13:46;84
Bonn-Mehlem;RB 48 (17354);Köln Hbf;19.09.2025, 17:22;19.09.2025, 18:37;76
Rheine;RE 7 (17427);Köln Hbf;19.09.2025, 18:38;19.09.2025, 20:04;86
Hamm(Westf)Hbf;RE 1 (63836);Köln Hbf;19.09.2025, 23:12;20.09.2025, 00:19;68
Hamm(Westf)Hbf;RE 1 (63818);Köln Hbf;20.09.2025, 14:12;20.09.2025, 15:13;62
Münster(Westf)Hbf;RE 7 (17423);Köln Hbf;20.09.2025, 16:38;20.09.2025, 17:45;67
Hamm(Westf)Hbf;RE 1 (63846);Köln Hbf;21.09.2025, 03:13;21.09.2025, 04:17;65
Essen Hbf;RE 6 (63708);Köln Hbf;22.09.2025, 08:52;22.09.2025, 10:05;74
